Age,Asking Price,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Bldg SF,Building Class,Building Materials,Ceiling Height,Coverage,Improvement Ratio,Land Area AC,Land Area SF,Listing Broker Street Number,Listing Broker Street Post-Direction,Market Time,Number Of Floors,Number Of Parking Spaces,Number Of Tenants,Parking Ratio,Percent Office,Power,Price Per AC Land,Price Per AC Land Net,Price Per Room,Price Per SF,Price Per SF (Net),Price Per SF Land,Price Per SF Land Net,Price Per Unit,Pro Forma Cap Rate,Property County,Property State,Property Zip Code,PropertyType,Sale Date,Sale Price,Sale Status,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Secondary Type,Seller (True) Address,Seller (True) City,Seller (True) Company,Seller (True) Contact,Size,Star Rating,Submarket Code,Submarket Name,Tenancy,Total Expense Amount,Typ Flr (SF),Vacancy,Year Built
42,,782600,282400,1065000,2016,16670,C,Metal,,0.1393125465,73,2.75,119659,,,,1,17,1,0.68,,,,,,,,,,,,Bexar,TX,78217,Industrial,12/1/2016,,Sold,,,,Truck Terminal,,,,,16670,2 Star,S06,Northeast,Multi,28699.67,16670,,1975
43,,424170,106530,530700,2016,8480,C,Masonry,"16'0""",0.1090619132,79,1.79,77754,,,,1,45,,5.31,25.707547,,,,,,,,,,,Bexar,TX,78214,Industrial,12/20/2016,,Sold,,,,Warehouse,,,,,8480,2 Star,S08,South,Multi,15064.48,8480,100,1974
47,,737070,47020,784090,2016,20096,C,Metal,,0.2306703398,94,2,87120,,,,1,30,1,1.49,,,,,,,,,,,,Bexar,TX,78221,Industrial,10/18/2016,,Sold,,,,Manufacturing,,,,,20096,2 Star,S08,South,Single,21003.46,20096,,1970
21,,1100130,397330,1497460,2016,7242,C,Metal,,0.0280833737,73,5.92,257875,,,,1,20,1,2.76,,,,,,,,,,,,Bexar,TX,78219,Industrial,11/18/2016,,Sold,,,,Truck Terminal,,,,,7242,1 Star,S06,Northeast,Multi,42264.39,7242,,1996
,725000,315879,99458,415337,2016,10370,C,Metal,"14'0""",0.1760820471,76,1.35,58893,,,227,1,4,,,22.661524,,,,,,,,,,,Guadalupe,TX,78108,Industrial,11/21/2016,,Sold,,,,Warehouse,,,,,10370,2 Star,S12,Guadalupe County,Multi,8491.57,10370,,
57,,333740,134030,467770,2016,18061,B,Masonry,"13'1""-15'3""",0.4783483857,71,0.87,37757,,,,1,25,1,1.38,13.288301,,,,,,,,,,,Bexar,TX,78212,Industrial,1/5/2017,,Sold,,,,Warehouse,,,,,18061,2 Star,S05,North Central,Single,,18061,,1960
32,,77840,17770,95610,2016,1800,C,Metal,,0.160042678,81,0.26,11247,,,,1,16,,9.36,,,,,,,,,,,,Bexar,TX,78218,Industrial,11/23/2016,,Sold,,,,Service,,,,,1800,1 Star,S06,Northeast,Multi,2576.5,1800,,1985
34,,595650,89630,685280,2016,10046,C,Masonry,"16'0""",0.4349106022,86,0.53,23099,,,,1,6,1,0.61,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/6/2016,,Sold,,,,Warehouse,,,,,10046,2 Star,S05,North Central,Multi,18466.96,10046,100,1983
31,560000,184200,59200,243400,2015,5442,C,Masonry,"16'0""-20'0""",0.1378943368,75,0.91,39465,100,,398,1,15,1,2.75,18.375597,,,,,,,,,,,Bexar,TX,78219,Industrial,5/16/2016,,Sold,,,,Manufacturing,8134 Powerhorn Run,San Antonio,Vivian Glenda & Jan Cupit,Vivian Cupit,5442,1 Star,S06,Northeast,Single,7366.76,5442,,1986
69,,362490,169560,532050,2015,20875,C,Masonry,,0.9780266117,68,0.49,21344,,,,1,5,1,0.27,,,,,,,,,,,,Bexar,TX,78215,Industrial,10/30/2015,,Sold,,,,Service,107 Wake Forest,San Antonio,Lazaro O Juarez,Lazaro Juarez,20875,1 Star,S01,CBD,Multi,14354.95,20875,,1948
54,,1323230,329660,1652890,2015,45500,B,Reinforced Concrete,"25'0""-27'0""",0.4352234466,80,2.4,104544,8023,,,1,75,,1.73,13.406593,Y,,,,,,,,,,Bexar,TX,78207,Industrial,10/9/2015,,Sold,,,,Warehouse,4515 San Pedro Ave,San Antonio,GrayStreet Partners,Kevin Covey,45500,2 Star,S05,North Central,Single,44595.72,45500,,1963
23,,606730,278960,885690,2014,10200,C,Masonry,,0.0669027942,68,3.5,152460,,,,1,50,1,4.05,,,,,,,,,,,,Bexar,TX,78216,Industrial,7/15/2015,,Sold,,,,Warehouse,8827 Pineridge Rd,San Antonio,844 W Rhapsody LLC,Daniel Holt,10200,2 Star,S05,North Central,Single,25958.34,10200,,1994
23,187500,75250,33750,109000,2014,1830,C,Metal,,0.1626522087,69,0.26,11251,14400,,212,1,11,2,6.43,,,,,,,,,,,,Bexar,TX,78218,Industrial,3/20/2015,,Sold,,,,Manufacturing,,,,,1830,1 Star,S06,Northeast,Multi,2859.32,1830,,1994
22,450000,215470,53312,268782,2014,6250,C,Metal,"20'0""",0.281341436,80,0.51,22215,1802,,522,1,15,1,2.4,,,,,,,,,,,,Guadalupe,TX,78108,Industrial,5/22/2015,,Sold,,,,Manufacturing,,,Custom Design Shutters Llc,Diane Seale,6250,1 Star,S12,Guadalupe County,Single,6340.98,6250,,1995
50,,236080,73920,310000,2014,6606,C,Masonry,"16'0""",0.4468344156,76,0.34,14784,,,,1,6,,0.91,,,,,,,,,,,,Bexar,TX,78216,Industrial,5/26/2015,,Sold,,,,Service,,,,,6606,1 Star,S05,North Central,Multi,9420.31,6606,,1967
39,325000,99550,13370,112920,2015,7000,C,Masonry,"20'0""",1.3098802395,88,0.12,5344,801,,208,1,8,,1.2,,Y,,,,,,,,,,Bexar,TX,78204,Industrial,5/2/2016,,Sold,,,,Warehouse,,,,,7000,1 Star,S01,CBD,Single,7227.05,7000,,1978
37,,2554440,212170,2766610,2015,76494,B,Masonry,,0.4325287103,92,4.06,176853,200,,166,1,54,1,0.71,,,,,,,,,,,,Bexar,TX,78219,Industrial,6/29/2016,,Sold,,,,Manufacturing,,,,,76494,3 Star,S06,Northeast,Single,129065.7,76494,,1980
52,,420030,89970,510000,2015,23662,B,Masonry,,0.8284433863,82,0.66,28562,,,,1,12,1,0.5,11.753022,,,,,,,,,,,Bexar,TX,78212,Industrial,7/15/2016,,Sold,,,,Manufacturing,,,,,23662,2 Star,S05,North Central,Multi,16450.95,23662,,1965
23,,366220,54780,421000,2016,4800,C,Metal,,0.2409759526,86,0.46,19919,,,,1,15,1,7.89,,,,,,,,,,,,Bexar,TX,78233,Industrial,10/3/2016,,Sold,,,,Service,,,,,4800,1 Star,S06,Northeast,Single,11345.13,4800,,1994
39,,1131660,243130,1374790,2016,26666,C,Masonry,,0.2834125137,82,2.16,94089,,,,1,75,3,2.81,,,,,,,,,,,,Bexar,TX,78217,Industrial,9/29/2016,,Sold,,,,Warehouse,,,,,26666,2 Star,S06,Northeast,Multi,37047.91,26666,,1978
44,,390860,134920,525780,2014,7600,C,Masonry,,0.0958639741,74,1.82,79279,,,,1,50,5,6.58,,,,,,,,,,,,Bexar,TX,78211,Industrial,4/10/2015,,Sold,,,,,,,,,7600,2 Star,S08,South,Multi,,7600,,1973
75,,79930,33570,113500,2014,11832,C,Masonry,,0.5739330064,70,0.22,9583,,,,2,,1,,,,,,,,,,,,,Bexar,TX,78207,Industrial,5/19/2015,,Sold,,,,Warehouse,,,,,11832,2 Star,S07,Northwest,Single,4499.39,5500,,1942
11,,693700,288320,982020,2015,14000,C,,,0.062650473,70,5.13,223462,,,,1,,,,,,,,,,,,,,,Bexar,TX,78023,Industrial,9/1/2015,,Sold,,,,Warehouse,4219 Ramsgate St,San Antonio,Robert L Barrows,Robert Barrows,14000,2 Star,S04,Far Northwest,Single,21910.64,14000,,2006
62,,100,326510,326610,2014,57918,B,Metal,"12'0""-20'0""",0.3332623669,0,3.99,173791,,,,1,40,,0.69,9.703374,,,,,,,,,,,Bexar,TX,78216,Industrial,9/14/2015,,Sold,,,,Manufacturing,,,,,57918,3 Star,S05,North Central,Multi,8917.91,57918,,1955
33,,245120,94990,340110,2015,8550,B,Metal,,0.2772373541,72,0.71,30840,,,,1,3,1,0.35,,,,,,,,,,,,Bexar,TX,78232,Industrial,5/2/2016,,Sold,,,,Manufacturing,,,Mission Supply Inc,Stephen Homsley,8550,2 Star,S05,North Central,Single,11615.42,8550,,1984
51,,466490,114340,580830,2015,4000,C,Metal,,0.0369378521,80,2.49,108290,,,,1,10,1,2.11,,,,,,,,,,,,Bexar,TX,78212,Industrial,8/10/2016,,Sold,,,,Warehouse,,,,,4000,1 Star,S05,North Central,Multi,,4000,,1966
55,,49180,36250,85430,2015,1893,C,Metal,,0.2088481906,57,0.21,9064,,,,1,14,,7.4,,,,,,,,,,,,Bexar,TX,78225,Industrial,8/25/2016,,Sold,,,,Warehouse,,,,,1893,1 Star,S08,South,Single,2723.06,1893,,1962
,,5810,73270,79080,2016,190,C,Wood Frame,,0.0054455304,7,0.8,34891,,,,1,10,,,,,,,,,,,,,,Bexar,TX,78244,Industrial,9/7/2016,,Sold,,,,Warehouse,,,,,190,1 Star,S06,Northeast,Multi,2154.29,190,,
33,,614850,237890,852740,2016,57000,C,Metal,,0.1893693999,72,6.91,300999,,,,1,25,3,0.44,,,,,,,,,,,,Bexar,TX,78219,Industrial,11/11/2016,,Sold,,,,Warehouse,,,,,57000,3 Star,S06,Northeast,Multi,24067.78,57000,,1984
82,,230440,121110,351550,2015,3950,C,Masonry,,0.7976575121,65,0.11,4952,,,,1,3,1,0.75,,,,,,,,,,,,Bexar,TX,78215,Industrial,12/18/2015,,Sold,,,,Warehouse,,San Antonio,J. David & Carolyn Z Gardner,,3950,1 Star,S01,CBD,Multi,3174.79,3950,,1935
16,,212350,61060,273410,2015,4750,C,Metal,,0.2263845201,77,0.48,20982,,,,1,15,1,3.16,,,,,,,,,,,,Bexar,TX,78217,Industrial,12/14/2015,,Sold,,,,Warehouse,,,,,4750,1 Star,S06,Northeast,Single,7465.31,4750,,2001
32,,248920,86080,335000,2014,10027,B,,,0.2329639181,74,0.99,43041,,,,1,30,3,2.99,,,,,,,,,,,,Bexar,TX,78233,Industrial,7/15/2015,,Sold,,,,,,,,,10027,2 Star,S06,Northeast,Single,13761.44,10027,,1985
57,70000,,,,,3000,C,Metal,,0.3730879244,,0.18,8041,15321,,818,1,5,1,1.62,16.666667,,,,,,,,,,,Bexar,TX,78202,Industrial,3/17/2015,,Sold,,,,,1702 Agile St,San Antonio,S & D Real Estate LLC,Clark Sims,3000,1 Star,S06,Northeast,Multi,1618.83,3000,,1960
34,,230950,30380,261330,2015,4560,C,Metal,,0.0956014927,88,1.1,47698,,,,1,20,,1.05,,,,,,,,,,,,Bexar,TX,78222,Industrial,1/15/2016,,Sold,,,,Warehouse,,,,,4560,1 Star,S08,South,Single,6642.07,4560,,1983
14,,231550,44980,276530,2015,5000,C,Masonry,,0.279970883,83,0.41,17859,,,,1,10,1,2.11,,,,,,,,,,,,Bexar,TX,78250,Industrial,3/24/2016,,Sold,,,,Service,,,,,5000,1 Star,S07,Northwest,Multi,7622.24,5000,,2003
34,,111080,142720,253800,2015,5820,C,,"12'0""",0.0538290788,43,2.48,108120,,,,1,,,,,,,,,,,,,,,Bexar,TX,78237,Industrial,5/4/2016,,Sold,,,,Warehouse,,,,,5820,1 Star,S07,Northwest,Single,4903.56,5820,,1983
32,1695000,1360800,181770,1542570,2016,18725,B,Masonry,,0.6293906087,88,0.68,29751,1100,,273,1,12,2,0.44,,,,,,,,,,,,Bexar,TX,78216,Industrial,12/29/2016,,Sold,,,,Manufacturing,,,,,18725,2 Star,S05,North Central,Multi,41569.25,18725,,1985
47,499999,294010,66180,360190,2016,5040,C,Metal,"19'0""",0.2520756227,81,0.46,19994,10223,,122,1,22,,4.36,,,,,,,,,,,,Bexar,TX,78207,Industrial,12/15/2016,,Sold,,,,,115 Angeles Dr,San Antonio,"J & T Corpus, Inc.",Jose Corpus,5040,1 Star,S05,North Central,Single,10166.02,5040,,1970
34,,595650,89630,685280,2016,10046,C,Masonry,"16'0""",0.4349106022,86,0.53,23099,,,,1,6,1,0.61,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/6/2016,,Sold,,,,Warehouse,,,,,10046,2 Star,S05,North Central,Multi,18466.96,10046,100,1983
30,1750000,1357770,221340,1579110,2015,15900,B,Metal,"18'0""",0.1221198157,85,2.99,130200,1000,,370,1,20,1,1.14,10.062893,,,,,,,,,,,Bexar,TX,78233,Industrial,11/23/2015,,Sold,,,,Warehouse,11100 Mead Rd,Baton Rouge,"H&E Equipment Services, Inc.",,15900,2 Star,S06,Northeast,Single,43116.73,15900,,1987
34,,264420,68580,333000,2015,7505,C,Masonry,,0.3184807978,79,0.54,23565,,,,1,10,1,1.33,,,,,,,,,,,,Bexar,TX,78217,Industrial,11/20/2015,,Sold,,,,Warehouse,,,,,7505,2 Star,S06,Northeast,Single,9092.38,7505,,1983
36,945000,405120,89440,494560,2015,12900,C,Masonry,"16'0""",0.2145994144,81,1.38,60112,935,,215,1,20,1,1.55,,Y,,,,,,,,,,Bexar,TX,78219,Industrial,9/8/2015,,Sold,,,,Service,,Corpus Christi,"Transport Enterprises, Ltd.",Mark Stockseth,12900,2 Star,S06,Northeast,Single,13343.45,12900,,1981
13,2000000,898600,115220,1013820,2014,9920,B,Masonry,,0.077486682,88,2.94,128022,100,,39,1,40,1,4.03,20.16129,,,,,,,,,,,Bexar,TX,78244,Industrial,3/30/2015,,Sold,,,,Distribution,"100 NE Loop 410, 1500",San Antonio,Stream Realty Partners-Central Texas,,9920,2 Star,S06,Northeast,Single,29079.42,9920,,2004
97,,150700,224240,374940,2015,70000,C,Masonry,"10'0""",0.6139718641,40,0.86,37461,5715,,,3,25,,0.36,,,,,,,,,,,,Bexar,TX,78207,Industrial,4/27/2015,,Sold,,,,Warehouse,,San Antonio,Dan Naranjo,Dan Naranjo,70000,2 Star,S07,Northwest,Multi,10637.85,23000,,1920
39,,565940,131060,697000,2014,26574,C,Masonry,,0.4766123825,81,1.28,55756,,,,1,30,,1.12,,,,,,,,,,,,Bexar,TX,78207,Industrial,8/14/2015,,Sold,,,,Manufacturing,12439 Winding Branch,San Antonio,GJM Investments Llc,Gustavo Medellin,26574,2 Star,S07,Northwest,Single,22357.89,26574,,1978
14,,445750,128840,574590,2015,3990,C,Metal,,0.0418068085,77,2.19,95439,,,,1,18,1,4.51,,,,,,,,,,,,Bexar,TX,78109,Industrial,10/15/2015,,Sold,Private Individual Fas Fiancial Inc,,,Service,,,,,3990,1 Star,S06,Northeast,Single,15613.75,3990,,2003
7,,3322820,625690,3948510,2015,61200,B,Masonry,,0.1564545157,84,8.98,391168,,,,1,55,1,0.89,,,,,,,,,,,,Bexar,TX,78233,Industrial,11/30/2015,,Sold,,,,Distribution,2011 Mariner Point Ln,Katy,Weidner Road Real Estate Partners LP,Jeffrey Metzler,61200,3 Star,S06,Northeast,Multi,107811.89,61200,,2010
9,,1255536,225830,1481366,2015,10560,B,Masonry,,0.0481958504,84,5.03,219106,,,,1,16,1,1.51,,,,,,,,,,,,Guadalupe,TX,78154,Industrial,12/11/2015,,Sold,,,,Service,,,,,10560,2 Star,S12,Guadalupe County,Single,1632.34,10560,,2008
5,,581520,38480,620000,2014,10080,B,Reinforced Concrete,"17'0""",0.3824991462,93,0.61,26353,,,,1,13,,1.29,10.31746,,,,,,,,,,,Bexar,TX,78219,Industrial,9/3/2015,,Sold,,,,Service,"7898 Broadway St, 100",San Antonio,Richard M Peacock,Richard Peacock,10080,2 Star,S06,Northeast,Single,22347.64,10080,,2012
2,,0,337190,337190,2015,23240,B,,"31'5""",0.0820166786,0,6.51,283357,,,,1,,1,,,,,,,,,,,,,Bexar,TX,78220,Industrial,11/16/2015,,Sold,,,,,100 North St,Baton Rouge,Commercial Properties Realty Trust,Carolyn Martin,23240,2 Star,S08,South,,,23240,,2015
44,,159720,45000,204720,2015,3325,C,Masonry,,0.2179041877,78,0.35,15259,,,,1,8,2,2.41,,,,,,,,,,,,Bexar,TX,78217,Industrial,2/3/2016,,Sold,,,,Service,,,,,3325,1 Star,S06,Northeast,Multi,8084.42,3325,,1973
8,450000,98610,143870,242480,2015,3500,C,,,0.0168800791,40,4.76,207345,3834,,136,1,,,,22.857143,,,,,,,,,,,Bexar,TX,78223,Industrial,7/20/2015,,Sold,,,,Warehouse,347 Rose Meadow Dr,La Vernia,Jakeco Construction Inc,Carol Fritz,3500,1 Star,S08,South,Single,,3500,,2009
52,,61440,116900,178340,2015,3172,C,,,0.0680555258,34,1.07,46609,,,,1,,1,,,,,,,,,,,,,Bexar,TX,78207,Industrial,2/24/2016,,Sold,,,,,,,,,3172,1 Star,S07,Northwest,Single,5636.63,3172,,1965
45,418000,139800,25180,164980,2015,4400,C,Masonry,,0.6990784874,84,0.14,6294,1000,,97,1,10,1,2.39,,,,,,,,,,,,Bexar,TX,78202,Industrial,10/15/2015,,Sold,,,,Service,,,,,4400,1 Star,S06,Northeast,Multi,4451.23,4400,,1972
1,,,,,,6000,C,,"18'0""",0.1377410468,,1,43560,453,,554,1,,,,,,,,,,,,,,,Guadalupe,TX,78154,Industrial,8/11/2016,,Sold,,,,Warehouse,,,,,6000,1 Star,S12,Guadalupe County,Multi,1319.2,6000,,2016
14,,383420,206120,589540,2016,11031,B,Metal,,0.3612575733,65,0.7,30535,,,,1,14,1,1.27,,,,,,,,,,,,Bexar,TX,78249,Industrial,1/9/2017,,Sold,,,,Distribution,,,,,11031,2 Star,S07,Northwest,Single,,11031,,2003
61,,68990,77610,146600,2016,2375,C,Wood Frame,,0.096399724,47,0.57,24637,,,,1,12,,3.37,,,,,,,,,,,,Bexar,TX,78216,Industrial,1/18/2017,,Sold,,,,Service,,,,,2375,1 Star,S05,North Central,Multi,,2375,,1956
34,,595650,89630,685280,2016,10046,C,Masonry,"16'0""",0.4349106022,86,0.53,23099,,,,1,6,1,0.61,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/6/2016,,Sold,,,,Warehouse,,,,,10046,2 Star,S05,North Central,Multi,18466.96,10046,100,1983
34,,595650,89630,685280,2016,10046,C,Masonry,"16'0""",0.4349106022,86,0.53,23099,,,,1,6,1,0.61,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/6/2016,,Sold,,,,Warehouse,,,,,10046,2 Star,S05,North Central,Multi,18466.96,10046,100,1983
57,,758440,221560,980000,2014,39863,C,Masonry,"20'0""",0.5268493187,77,1.74,75663,,,,1,25,,0.76,10.48047,Y,,,,,,,,,,Bexar,TX,78210,Industrial,3/18/2015,,Sold,,,,Warehouse,,,,,39863,2 Star,S06,Northeast,Multi,31199.65,39863,,1960
10,,286020,269330,555350,2015,4900,C,,"18'0""",0.1124885216,51,1,43560,,,,1,,,,,,,,,,,,,,,Bexar,TX,78109,Industrial,9/28/2015,,Sold,,,,Warehouse,5785 FM 1346,San Antonio,Longhorn Recycling Lp,John Triesch,4900,1 Star,S08,South,Multi,11785.5,4900,,2007
21,,491590,88410,580000,,16280,C,Metal,"16'0""-18'0""",0.2768424991,84,1.35,58806,,,,1,25,,1.53,24.570025,,,,,,,,,,,Bexar,TX,78023,Industrial,5/26/2015,,Sold,,,,,,,,,16280,2 Star,S04,Far Northwest,Single,17621.65,16280,,1996
34,4750000,3395360,2090350,5485710,2015,217500,C,Masonry,,0.1571150357,61,31.78,1384336,14100,,634,1,500,,2.24,10.011034,Y,,,,,,,,,,Bexar,TX,78227,Industrial,11/17/2015,,Sold,,,,Manufacturing,14421 Myerlake Cir,Clearwater,"Bic Graphic USA Manufacturing Co., Inc.",Emmanuel Bruno,217500,4 Star,S10,Far West,Single,146542.24,217500,,1983
31,450000,61050,82860,143910,2015,1656,C,Wood Frame,,0.2696629213,42,0.14,6141,200,,104,1,6,1,3.62,,,,,,,,,,,,Bexar,TX,78219,Industrial,3/3/2016,,Sold,,,,Showroom,1617 Enid St,Houston,BETCO Scaffolds,Jay Rosen,1656,1 Star,S06,Northeast,Multi,4061.72,1656,,1986
31,,186770,314520,501290,2015,13300,C,Masonry,,0.1806672463,37,1.69,73616,,,,1,13,1,0.98,,,,,,,,,,,,Bexar,TX,78249,Industrial,5/1/2016,,Sold,,,,Warehouse,,,,,13300,2 Star,S07,Northwest,Multi,17991.54,13300,,1986
45,,15700,200670,216370,2016,30500,C,Metal,"11'0""-21'0""",0.5001393831,7,1.4,60983,,,,1,10,1,1.87,4.918033,N,,,,,,,,,,Bexar,TX,78233,Industrial,11/29/2016,,Sold,,,,Warehouse,,,,,30500,3 Star,S06,Northeast,Multi,28817.98,30500,17.39,1972
33,,336040,94990,431030,2016,8550,B,Metal,,0.2772373541,77,0.71,30840,,,,1,3,1,0.35,,,,,,,,,,,,Bexar,TX,78232,Industrial,10/26/2016,,Sold,,,,Manufacturing,,,,,8550,2 Star,S05,North Central,Single,11615.42,8550,,1984
50,,322850,484120,806970,2015,14885,C,Masonry,"11'0""",0.4058401723,40,0.84,36677,,,,1,10,,0.37,5.206584,,,,,,,,,,,Bexar,TX,78202,Industrial,4/15/2016,,Sold,,,,Manufacturing,,,,,14885,1 Star,S06,Northeast,Multi,,14885,,1967
18,,237590,42150,279740,2015,6000,C,Metal,,0.3558296762,84,0.39,16862,,,,1,10,,1.67,,,,,,,,,,,,Bexar,TX,78233,Industrial,3/21/2016,,Sold,,,,Warehouse,,,,,6000,1 Star,S06,Northeast,Multi,10375,6000,,1999
28,,14610,42050,56660,2016,5618,C,Metal,,0.4256705561,25,0.3,13198,,,,1,10,1,2.63,,,,,,,,,,,,Bexar,TX,78233,Industrial,9/21/2016,,Sold,,,,Warehouse,,,,,5618,1 Star,S06,Northeast,Multi,6335.49,5618,,1989
69,,126730,49300,176030,2015,6000,C,Masonry,,0.9735518416,71,0.14,6163,,,,1,2,,0.33,,,,,,,,,,,,Bexar,TX,78215,Industrial,12/18/2015,,Sold,,,,Warehouse,,,,,6000,1 Star,S01,CBD,Single,4749.37,6000,,1948
21,,491590,88410,580000,,16280,C,Metal,"16'0""-18'0""",0.2768424991,84,1.35,58806,,,,1,25,,1.53,24.570025,,,,,,,,,,,Bexar,TX,78023,Industrial,5/26/2015,,Sold,,,,,,,,,16280,2 Star,S04,Far Northwest,Single,17621.65,16280,,1996
39,,330360,523080,853440,2014,15140,C,,,0.0534800916,38,6.5,283096,,,,1,36,,2.37,,,,,,,,,,,,Bexar,TX,78222,Industrial,6/3/2015,,Sold,,,,Showroom,1900 Southern Ave,Parsons,Heck & Wicker Inc,Kent Wicker,15140,2 Star,S08,South,Single,26744.76,15140,,1978
38,,378892,83030,461922,2014,12120,C,Metal,,0.5105307498,82,0.55,23740,,,,1,9,1,0.78,,,,,,,,,,,,Bexar,TX,78216,Industrial,7/22/2015,,Sold,,,,Warehouse,,,,,12120,2 Star,S05,North Central,Single,12943.13,12120,,1979
,550000,179100,148850,327950,2014,10000,C,Masonry,,0.0417397112,54,5.5,239580,18585,,725,1,45,,4.5,,,,,,,,,,,,Comal,TX,78266,Industrial,8/3/2015,,Sold,,,,,23180 Hanging Oaks,San Antonio,Orbin & Claudette Sumrall Ltd,,10000,2 Star,S33,Comal County,Multi,5546.4,10000,,
42,,750320,207670,957990,2015,15550,C,Masonry,,0.0845922436,78,4.22,183823,,,,1,20,,1.28,,,,,,,,,,,,Bexar,TX,78219,Industrial,10/6/2015,,Sold,,,,Truck Terminal,,,,,15550,2 Star,S06,Northeast,Multi,25847,15550,,1975
57,,82450,50630,133080,2015,4303,C,Masonry,,0.4250716191,61,0.23,10123,,,,1,5,,1.16,,,,,,,,,,,,Bexar,TX,78216,Industrial,3/31/2016,,Sold,,,,Warehouse,,,,,4303,1 Star,S05,North Central,Multi,4318.69,4303,,1960
25,,244530,39870,284400,2015,800,C,,,0.0026861953,85,6.84,297819,,,,1,,,,,,,,,,,,,,,Bexar,TX,78109,Industrial,6/7/2016,,Sold,,,,Warehouse,,,,,800,1 Star,S08,South,Single,,800,,1992
39,,1018170,231830,1250000,2015,26666,C,Masonry,,0.2834125137,81,2.16,94089,,,,1,75,3,2.81,,,,,,,,,,,,Bexar,TX,78217,Industrial,9/1/2016,,Sold,,,,Warehouse,,,,,26666,2 Star,S06,Northeast,Multi,37047.91,26666,,1978
23,,366220,54780,421000,2016,4800,C,Metal,,0.2409759526,86,0.46,19919,,,,1,15,1,7.89,,,,,,,,,,,,Bexar,TX,78233,Industrial,9/26/2016,,Sold,,,,Service,,,,,4800,1 Star,S06,Northeast,Single,11345.13,4800,,1994
77,,466350,219300,685650,2016,13600,B,Masonry,,0.5272135215,68,0.3,12898,,,49,2,25,,1.97,,,,,,,,,,,,Bexar,TX,78204,Industrial,12/15/2016,,Sold,,,,Warehouse,,,,,13600,2 Star,S01,CBD,Multi,19351.82,6800,,1940
30,,428270,133270,561540,2016,5200,B,,"20'0""",0.0499438132,76,2.39,104117,,,,1,,1,,,,,,,,,,,,,Bexar,TX,78224,Industrial,12/12/2016,,Sold,,,,,,,,,5200,1 Star,S08,South,Single,15626.56,5200,,1987
50,1200000,237880,484120,722000,2014,27885,C,Masonry,,0.7602857377,32,0.84,36677,801,,668,1,9,,0.69,35.861574,,,,,,,,,,,Bexar,TX,78205,Industrial,6/26/2015,,Sold,,,,Warehouse,25710 Hickory Blvd,Bonita Springs,John K & Rebecca W Paalman,,27885,2 Star,S06,Northeast,Multi,,27885,,1967
33,,278980,35760,314740,2015,9300,C,Masonry,"12'0""-14'0""",0.5201051395,88,0.41,17881,,,,1,12,,1.37,,,,,,,,,,,,Bexar,TX,78238,Industrial,12/14/2015,,Sold,,,,Warehouse,,,,,9300,2 Star,S07,Northwest,Multi,8469.48,9300,,1984
50,,178560,71410,249970,2014,11919,C,Reinforced Concrete,,0.5007772783,71,0.55,23801,,,,1,22,1,1.85,,,,,,,,,,,,Bexar,TX,78212,Industrial,7/1/2015,,Sold,,,,Warehouse,,,,,11919,2 Star,S05,North Central,Multi,7415.85,11919,,1967
44,,780830,106460,887290,2014,30388,C,Masonry,"24'0""",0.3510912389,88,1.99,86553,200,,581,1,28,1,5.56,17.441095,,,,,,,,,,,Bexar,TX,78219,Industrial,5/22/2015,,Sold,,,,Warehouse,6970 Jonesboro Rd,Morrow,Roselee Investments,,30388,3 Star,S06,Northeast,Single,24349.86,30388,,1973
60,,43950,77380,121330,2015,4256,C,Metal,,0.165018805,36,0.59,25791,,,,1,12,,2.82,,,,,,,,,,,,Bexar,TX,78204,Industrial,9/23/2015,,Sold,,,,Warehouse,,,,,4256,1 Star,S01,CBD,Multi,3273.54,4256,,1957
32,,109980,30210,140190,2015,16485,C,Metal,"18'0""",0.0379202628,78,9.98,434728,,,,1,,,,16.378526,,,,,,,,,,,Bexar,TX,78221,Industrial,3/10/2016,,Sold,,,,Warehouse,,,,,16485,2 Star,S08,South,Multi,,16485,,1985
33,,236030,28970,265000,2014,5700,C,Metal,,0.4919730709,89,0.27,11586,,,,1,12,2,2.11,,,,,,,,,,,,Bexar,TX,78216,Industrial,3/31/2015,,Sold,,,,Warehouse,,,,,5700,1 Star,S05,North Central,Multi,7763.2,5700,,1984
3,783000,0,101930,101930,2014,5800,B,Masonry,"18'0""",0.2662993572,0,0.5,21780,100,,430,1,25,1,4.31,9.241379,,,,,,,,,,,Bexar,TX,78218,Industrial,6/18/2015,,Sold,,,,Warehouse,13625 Shipwatch Dr,Jacksonville,JM Property Holdings,James Smyrles,5800,1 Star,S06,Northeast,Single,,5800,,2014
33,645000,439960,141330,581290,2014,6248,C,Metal,,0.4346737164,75,0.33,14374,100,,136,1,10,1,1.6,13.828425,,,,,,,,,,,Bexar,TX,78232,Industrial,6/25/2015,,Sold,,,,Service,11126 Rocky Trl,San Antonio,Balwinder Dhillon,Balwinder Dhillon,6248,1 Star,S05,North Central,Multi,13134.53,6248,,1984
