Age,Asking Price,Assessed Improved,Assessed Land,Assessed Value,Assessed Year,Bldg SF,Building Class,Building Materials,Ceiling Height,Coverage,Improvement Ratio,Land Area AC,Land Area SF,Listing Broker Street Number,Listing Broker Street Post-Direction,Market Time,Number Of Floors,Number Of Parking Spaces,Number Of Tenants,Parking Ratio,Percent Office,Power,Price Per AC Land,Price Per AC Land Net,Price Per Room,Price Per SF,Price Per SF (Net),Price Per SF Land,Price Per SF Land Net,Price Per Unit,Pro Forma Cap Rate,Property County,Property State,Property Zip Code,PropertyType,Sale Date,Sale Price,Sale Status,Second Trust Deed Lender,Second Trust Deed Payment,Second Trust Deed Terms,Secondary Type,Seller (True) Address,Seller (True) City,Seller (True) Company,Seller (True) Contact,Size,Star Rating,Submarket Code,Submarket Name,Tenancy,Total Expense Amount,Typ Flr (SF),Vacancy,Year Built
67,,257150,297000,554150,2015,13510,C,Masonry,,0.5458585859,46,0.57,24750,1100,,,1,14,1,1.22,,,1372756.07,,,57.74,57.74,31.51,,,,Bexar,TX,78204,Industrial,5/12/2015,780000,Sold,,,,Warehouse,1811 S Alamo St,San Antonio,H A Franz & Co,,13510,2 Star,S01,CBD,Multi,14951.22,13510,81.42,1950
39,789000,545050,70980,616030,2015,12000,C,Masonry,"14'0""",0.8453085376,88,0.33,14196,801,,70,1,20,,1.33,20,,2359619.52,,,64.08,64.08,54.17,,,,Bexar,TX,78216,Industrial,5/16/2016,769000,Sold,,,,Warehouse,,,,,12000,2 Star,S05,North Central,Multi,20723.05,12000,,1978
21,,,,,,13680,C,Metal,,0.2684195036,,1.17,50965,,,152,1,15,,1.09,,,512820.51,,,43.86,43.86,11.77,,,,Bexar,TX,78217,Industrial,11/2/2016,600000,Sold,,,,Warehouse,,,,,13680,2 Star,S05,North Central,Single,,13680,,1996
33,,242040,37450,279490,2014,7482,B,Masonry,"18'0""",0.3994660972,86,0.43,18730,9601,,,1,13,,1.48,10.692328,Y,1360465.12,,,78.19,78.19,31.23,,,,Bexar,TX,78218,Industrial,3/6/2015,585000,Sold,,,,Warehouse,1154 Halm Blvd,San Antonio,Jeannette Dunworth Buffkin,Jeannette Buffkin,7482,1 Star,S06,Northeast,Multi,18991.88,7482,,1984
34,495000,279980,43180,323160,2016,4845,C,Metal,,0.3086183833,86,0.36,15699,901,,108,1,18,,3.72,,,1373473.92,,,102.17,102.17,31.53,,,,Bexar,TX,78233,Industrial,1/26/2017,495000,Sold,,,,Service,6610 Topper Pky,San Antonio,Gary E Young,Gary Young,4845,1 Star,S06,Northeast,Multi,,4845,,1983
31,522000,102220,114020,216240,2015,3480,B,Masonry,,0.2282715644,47,0.35,15245,14855,,140,2,14,1,4.02,,,1363857.14,,,137.17,137.17,31.31,,,,Bexar,TX,78212,Industrial,1/4/2016,477350,Sold,,,,Service,,,,,3480,1 Star,S05,North Central,Single,13131.24,3480,,1986
22,360000,223040,229570,452610,2015,6493,C,,"15'7""-18'0""",0.0731274728,49,2.02,87956,8023,,125,,,,,,,178288.43,,,55.44,55.44,4.09,,,,Bexar,TX,78023,Industrial,12/22/2015,360000,Sold,,,,Warehouse,11614 Rainbow Rdg,Helotes,Centurion Ordnance Inc,Carlos Romero,6493,1 Star,S04,Far Northwest,Single,10098.55,6432,,1995
77,450000,169440,24800,194240,2015,6836,C,Masonry,"12'0""",0.3335610423,87,0.47,20494,8026,,576,1,20,1,2.11,,,754516.47,,,51.93,51.93,17.32,,,,Bexar,TX,78210,Industrial,6/15/2016,355000,Sold,,,,Distribution,,,,,6836,1 Star,S06,Northeast,Multi,6011.16,6836,,1940
74,100000,,,,,1060,C,,,0.0607310645,,0.4,17454,850,,1210,1,,,,,,224357.37,,,84.81,84.81,5.15,,,,Bexar,TX,78207,Industrial,5/28/2015,89900,Sold,,,,,,,,,1060,1 Star,S07,Northwest,Single,,1060,,1943
63,,146390,131000,277390,2015,4750,C,Metal,"18'0""",0.145007174,52,0.75,32757,,,,1,5,1,1.05,4,,,,,,,,,,,Bexar,TX,78202,Industrial,4/5/2016,,Sold,,,,Warehouse,,,,,4750,1 Star,S06,Northeast,Single,8928.11,4750,,1954
34,,2055460,419540,2475000,2015,75150,C,Masonry,"18'0""",0.2261088813,83,7.63,332362,,,,1,110,7,1.47,,,,,,,,,,,,Bexar,TX,78218,Industrial,8/3/2016,,Sold,,,,Warehouse,,,Palmtree Acquisition Corp,,75150,3 Star,S06,Northeast,Multi,83394.15,75150,14.37,1983
4,,589800,208540,798340,2016,4900,B,Metal,"18'0""",0.0304023031,73,3.7,161172,,,255,1,30,1,6.12,28.571429,,,,,,,,,,,Bexar,TX,78263,Industrial,10/31/2016,,Sold,,,,Warehouse,,,,,4900,1 Star,S08,South,Single,17031.43,4900,,2013
10,,317100,298330,615430,,10000,B,Masonry,"22'0""",0.2669442887,51,0.86,37461,,,,1,16,1,1.61,,,,,,,,,,,,Comal,TX,78154,Industrial,9/30/2016,,Sold,,,,Warehouse,,,,,10000,2 Star,S33,Comal County,Multi,13687.29,10000,100,2007
31,,3487071,454490,3941561,2016,94500,B,,"23'0""",0.4196176817,88,5.17,225205,,,,1,130,8,1.43,,,,,,,,,,,,Bexar,TX,78233,Industrial,12/27/2016,,Sold,,,,Warehouse,,,,,94500,3 Star,S06,Northeast,Multi,85757.05,94500,,1986
34,,595650,89630,685280,2016,10046,C,Masonry,"16'0""",0.4349106022,86,0.53,23099,,,,1,6,1,0.61,,,,,,,,,,,,Bexar,TX,78216,Industrial,9/6/2016,,Sold,,,,Warehouse,,,,,10046,2 Star,S05,North Central,Multi,18466.96,10046,100,1983
16,,3777370,622630,4400000,2015,64500,B,Reinforced Concrete,"24'0""-26'0""",0.3525514889,85,4.2,182952,12040,,169,1,68,1,1.05,13.178295,N,,,,,,,,,,Bexar,TX,78247,Industrial,12/18/2015,,Sold,,,,Manufacturing,1210 W Laurel,San Antonio,R Roy Jones II,Roy Jones,64500,3 Star,S05,North Central,Single,,64500,,2001
3,795000,628090,54400,682490,2015,4900,B,Metal,"18'0""",0.1136258232,92,0.99,43124,250,,723,1,30,,6.12,28.571429,,,,,,,,,,,Bexar,TX,78263,Industrial,8/7/2015,,Sold,,,,Warehouse,200 Heritage Vw,Adkins,Katherine J Moody,Katherine Moody,4900,1 Star,S08,South,Single,14483.63,4900,,2014
42,575000,380380,59500,439880,2015,7844,C,Masonry,,0.4613846244,86,0.39,17001,15614,,77,1,6,,1.05,31.871494,,,,,,,,,,,Bexar,TX,78238,Industrial,3/29/2016,,Sold,,,,Service,,,,,7844,2 Star,S07,Northwest,Multi,11812.12,7844,,1975
54,2900000,539070,760930,1300000,,33645,B,Reinforced Concrete,"24'0""",0.3152583347,41,2.45,106722,,,1167,1,70,1,2.12,,,,,,,,,,,,Bexar,TX,78204,Industrial,4/8/2015,,Sold,,,,Warehouse,415 W Travis St,San Antonio,The Lifshutz Companies,James Lifshutz,33645,2 Star,S01,CBD,Multi,,33645,,1963
57,,179460,5600,185060,,9666,C,Metal,"20'0""-24'0""",1.8492443084,96,0.12,5227,,,,1,12,1,2.17,,,,,,,,,,,,Bexar,TX,78223,Industrial,5/20/2015,,Sold,,,,Manufacturing,,,,,9666,2 Star,S08,South,Single,6825.51,9666,,1960
43,,1285080,183800,1468880,2015,36000,C,Masonry,"27'0""",0.2937960076,87,2.81,122534,,,,2,50,1,1.56,12.5,N,,,,,,,,,,Bexar,TX,78217,Industrial,8/1/2015,,Sold,,,,Warehouse,149 Lou Jon Cir,San Antonio,The Estate of Robert W Kotzebue Jr,Linda Kotzebue,36000,3 Star,S05,North Central,Multi,40106.96,36000,,1974
51,,21760,364370,386130,2015,3150,C,Metal,,0.2619324796,5,0.28,12026,,,,1,8,,2.54,,,,,,,,,,,,Bexar,TX,78212,Industrial,6/23/2016,,Sold,,,,Warehouse,,,,,3150,1 Star,S05,North Central,Multi,12607.88,3150,,1966
